station_id,variable,proposed_value,units,description,category,basis,source,confidence,notes
US-HBK,rjv_H,2.8,umol electrons/umolCO2,Ratio scaling Jmax to Vmax,photosynthesis,proposed / overridden for this site,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),needs_verification,"Zurich's deciduous value, but 12% above Table 3's 1.5-2.5 range for rjv. Only marginally out; flag rather than change, since it comes from the T&C authors' own file. The only tabulated parameter out of range in this set."
US-HBK,Vmax_H,45,umolCO2/(m^2 s),Maximum Rubisco carboxylation capacity at 25 degC,photosynthesis,proposed / overridden for this site,proposed; Fatichi et al. (2012a) Table 3 range 10-150; temperate DBF,proposed_estimate,Zurich sets Vmax_H = 0 (layer off) so a value must be supplied. 45 is a mid-range temperate-deciduous choice; CALIBRATE against US-HBK tower GPP once AmeriFlux data land.
US-HBK,KnitH,0.2,-,Canopy nitrogen decay coefficient with cumulative LAI,photosynthesis,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (0.35),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,Code retains an alternative commented value of 0.5.
US-HBK,Nl_H,30,kgC/kgN,Leaf carbon-to-nitrogen ratio,stoichiometry,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (62),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,"EXPLAINED: 62 is outside Table 3's 15-42, but that range does not span conifers. White et al. (2000) - the source Fatichi cites for PFT physiology - gives leaf C:N of 59.6 for evergreen needleleaf vs 19.8 for deciduous broadleaf, so 62 is essentially the standard ENF value. Use ~20-30 for a deciduous set, NOT this."
US-HBK,mSl_H,0.0,m^2 PFT/gC,Linear increase of specific leaf area with LAI,vegetation_structure,deciduous broadleaf (Zurich High-layer block); identical in both reference files,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),code_comment,Zero = SLA constant through the canopy.
US-HBK,Psi_sto_00_H,-0.5,MPa,Water potential at incipient (2%) stomatal conductance loss,plant_hydraulics,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (-0.8),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,
US-HBK,Psi_sto_50_H,-2.0,MPa,Water potential at 50% stomatal conductance loss,plant_hydraulics,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (-2.5),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,
US-HBK,PsiL00_H,-2.7,MPa,Leaf water potential at incipient (2%) conductivity loss,plant_hydraulics,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (-1.0),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,
US-HBK,PsiL50_H,-5.6,MPa,Leaf water potential at 50% conductivity loss,plant_hydraulics,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (-3.2),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,
US-HBK,Kleaf_max_H,5,mmolH2O/(m^2 leaf s MPa),Maximum leaf hydraulic conductance,plant_hydraulics,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (10),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,
US-HBK,Cl_H,1200,mmolH2O/(m^2 leaf MPa),Leaf hydraulic capacitance,plant_hydraulics,deciduous broadleaf (Zurich High-layer block); identical in both reference files,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),code_comment,Code notes a plausible range of 500-3000.
US-HBK,Axyl_H,15.0,cm^2 stem/m^2 PFT,Xylem (sapwood) cross-sectional area per unit ground area,plant_hydraulics,deciduous broadleaf (Zurich High-layer block); identical in both reference files,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,Scales with stand basal area; check for very young or very dense stands.
US-HBK,Kx_max_H,80000,mmolH2O/(m s MPa),Maximum xylem specific hydraulic conductivity,plant_hydraulics,deciduous broadleaf (Zurich High-layer block); identical in both reference files,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),code_comment,Code notes a range of 5550-555550.
US-HBK,PsiX50_H,-3.5,MPa,Xylem water potential at 50% conductivity loss (P50),plant_hydraulics,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (-5.0),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),needs_verification,-5.0 MPa is a drought-resistant conifer value; consider revising for mesic eastern conifers.
US-HBK,Cx_H,150,kg/(m^3 sapwood MPa),Xylem (sapwood) hydraulic capacitance,plant_hydraulics,deciduous broadleaf (Zurich High-layer block); identical in both reference files,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,
US-HBK,PsiG50_H,-0.45,MPa,Water potential at 50% reduction of growth/expansion,growth,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (-0.8),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,
US-HBK,PsiG99_H,-1.2,MPa,Water potential at 99% reduction of growth/expansion,growth,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (-2.5),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,
US-HBK,gcoef_H,3.5,gC/(m^2 day),Maximum growth (expansion) coefficient,growth,deciduous broadleaf (Zurich High-layer block); identical in both reference files,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,
US-HBK,r_H,0.030,gC/(gN d),Maintenance respiration rate at 10 degC per unit nitrogen,carbon_turnover,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (0.055),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),code_comment,Code notes a range of 0.011-0.066.
US-HBK,gR_H,0.25,-,"Growth respiration fraction, Rg/(GPP-Rm)",carbon_turnover,deciduous broadleaf (Zurich High-layer block); identical in both reference files,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),code_comment,Code notes a range of 0.22-0.28.
US-HBK,dd_max_H,1/365,1/d,Maximum drought-induced mortality rate (1/200),carbon_turnover,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (1/200),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),code_comment,Code notes a range of 0.005-0.025.
US-HBK,dc_C_H,2/365,1/(d degC),Factor of increasing cold-induced mortality (78/365),carbon_turnover,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (78/365),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),needs_verification,"OUT OF PUBLISHED RANGE: 78/365 = 0.214 vs Table 3's 1/365-1/15 (0.0027-0.067), ~3x the upper bound. Largely moot at US_xRM because Tcold_H = -50 degC never triggers cold shedding, but it WOULD bite in a deciduous set where Tcold is active. Check before reuse."
US-HBK,Tcold_H,7,degC,Temperature threshold for cold-induced leaf shedding,phenology,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (-50),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),code_comment,"Outside Table 3's -12 to +10 degC range DELIBERATELY: -50 degC is an off-switch, not a physical threshold, disabling cold shedding for an evergreen. A deciduous set must bring this back inside the published range."
US-HBK,drn_H,1/1095,1/d,Fine-root turnover rate (1/800),carbon_turnover,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (1/800),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,
US-HBK,dsn_H,1/365,1/d,Normal sapwood-to-heartwood transfer rate (1/600),carbon_turnover,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (1/600),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,
US-HBK,age_cr_H,150,day,Critical leaf age (needle longevity),phenology,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (1220),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,~3.3 yr needle retention - a defining evergreen trait. Revisit per species (Pinus vs Picea vs Tsuga differ).
US-HBK,Bfac_lo_H,0.95,-,Soil-water stress threshold for leaf onset,phenology,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (0.99),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,
US-HBK,Bfac_ls_H,NaN,-,Soil-water stress threshold for leaf shedding,phenology,deciduous broadleaf (Zurich High-layer block); identical in both reference files,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),code_comment,NaN = water-triggered shedding disabled for evergreen.
US-HBK,Tlo_H,12.9,degC,Mean temperature threshold for leaf onset,phenology,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (1.5),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,
US-HBK,Tls_H,NaN NaN,degC,Mean temperature threshold for leaf shedding,phenology,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,NaN = disabled for evergreen.
US-HBK,PAR_th_H,NaN,umol/(m^2 s),PAR threshold for phenological transition,phenology,deciduous broadleaf (Zurich High-layer block); identical in both reference files,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),code_comment,NaN = disabled.
US-HBK,dmg_H,35,day,Day of maximum growth (tree = 30; grasses = 25),phenology,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (30),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),code_comment,
US-HBK,LAI_min_H,0.01,m^2/m^2,Minimum allowed leaf area index,phenology,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (0.001),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,
US-HBK,Trr_H,3.5,gC/(m^2 d),Translocation rate from reserves,carbon_allocation,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (0.5),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,
US-HBK,mjDay_H,180,day of year,Maximum Julian day allowed for leaf onset,phenology,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (220),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,Northern-hemisphere convention.
US-HBK,LDay_min_H,11.0,h,Minimum day length for leaf onset,phenology,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (14.1),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,Day-length thresholds are LATITUDE SENSITIVE - review when moving far from 40 degN.
US-HBK,LtR_H,1.0,-,Maximum leaf-to-root allocation ratio,carbon_allocation,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (0.8),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,
US-HBK,Mf_H,1/50,1/d,Fruit maturation turnover rate (1/50),carbon_turnover,deciduous broadleaf (Zurich High-layer block); identical in both reference files,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,
US-HBK,Wm_H,1/16425,1/d,Wood turnover coefficient,carbon_turnover,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (0),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),code_comment,Zero = no background wood mortality.
US-HBK,eps_ac_H,1,-,Allocation-to-reserve parameter,carbon_allocation,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (0.8),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,
US-HBK,LDay_cr_H,12.30,h,Day-length threshold triggering senescence,phenology,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (11.8),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,Latitude sensitive - see LDay_min_H.
US-HBK,Klf_H,1/15,1/d,Dead-leaf fall turnover rate (1/30),carbon_turnover,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (1/30),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,
US-HBK,fab_H,0.74,-,Fraction of sapwood and reserves allocated above ground,carbon_allocation,deciduous broadleaf (Zurich High-layer block); identical in both reference files,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,fab_H + fbe_H must equal 1.
US-HBK,fbe_H,0.26,-,Fraction of sapwood and reserves allocated below ground,carbon_allocation,deciduous broadleaf (Zurich High-layer block); identical in both reference files,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,
US-HBK,ff_r_H,0.1,-,Reference allocation fraction to fruit and reproduction,carbon_allocation,deciduous broadleaf (Zurich High-layer block); identical in both reference files,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,
US-HBK,d_leaf_H,3.5,cm,Characteristic leaf dimension (needle width) for the boundary layer,canopy_structure,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (0.25),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,Needle-scale; the Low/broadleaf value is 0.8 cm.
US-HBK,Sp_LAI_H_In,0.2,mm/LAI,Specific rainfall interception storage per unit LAI,interception,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (0.1),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,
US-HBK,OM_H,1,-,Organic-matter / leaf-clumping-related optical multiplier,canopy_optics,deciduous broadleaf (Zurich High-layer block); identical in both reference files,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),needs_verification,
US-HBK,PFT_opt_H,Veg_Optical_Parameter(7),-,Leaf/stem optical property set; class 2 = NET Boreal (needleleaf evergreen tree),canopy_optics,proposed / overridden for this site,Veg_Optical_Parameter.m class 7 = BDT temperate; Oleson et al. (2010) CLM4,tc_source_code,"Gives chiL=0.25, leaf reflectance vis/nir 0.10/0.45, transmittance 0.05/0.25 - a broadleaf canopy, unlike the needleleaf set at US_xRM. Zurich disables optics (class 0) because its High layer is off, so this must be set explicitly."
US-HBK,CASE_ROOT,1,-,Root vertical profile type; 1 = exponential,roots,deciduous broadleaf (Zurich High-layer block); identical in both reference files,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_source_code,"Options in Root_Fraction_General.m: 1 exponential, 2 linear dose response, 3 constant, 4 deep/tap."
US-HBK,ZR95_H,800,mm,Rooting depth containing 95% of roots,roots,proposed / overridden for this site,"PFT placeholder, as agreed; Schenk & Jackson (2002) for a real value",needs_verification,Zurich sets 0 (layer off). Carried over from US_xRM pending site data. Must stay <= deepest Zs layer.
US-HBK,ZR50_H,NaN,mm,Rooting depth containing 50% of roots,roots,deciduous broadleaf (Zurich High-layer block); identical in both reference files,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),code_comment,Unused when CASE_ROOT = 1.
US-HBK,ZRmax_H,NaN,mm,Maximum rooting depth,roots,deciduous broadleaf (Zurich High-layer block); identical in both reference files,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),code_comment,Unused when CASE_ROOT = 1.
US-HBK,Vx_H,10,mm/m^2 PFT,Maximum xylem water storage volume,plant_hydraulics,proposed / overridden for this site,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,Zurich sets 0 (High layer off); a real canopy needs storage. US_xRM value.
US-HBK,Vl_H,10,mm/m^2 PFT,Maximum leaf water storage volume,plant_hydraulics,proposed / overridden for this site,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,Zurich sets 0 (High layer off); a real canopy needs storage. US_xRM value.
US-HBK,ParEx_H,Exudation_Parameter(1),-,Root exudation parameter set (1 = active),biogeochemistry,carried from the evergreen table (not a scalar in the source file),Fatichi et al. (2012a),needs_verification,Only relevant when OPT_SoilBiogeochemistry = 1.
US-HBK,Mpar_H,Vegetation_Management_Parameter,-,Vegetation management parameter set (defaults = unmanaged),management,carried from the evergreen table (not a scalar in the source file),Fatichi et al. (2012a),tc_model_description,Revisit for managed/harvested sites flagged by BADM disturbance records.
US-HBK,Kct,0.75,-,Vegetation cover factor for throughfall partitioning,interception,deciduous broadleaf (Zurich High-layer block); identical in both reference files,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,
US-HBK,gcI,3.7,1/mm,Interception storage decay coefficient,interception,deciduous broadleaf (Zurich High-layer block); identical in both reference files,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,
US-HBK,KcI,0.06,mm,Interception drainage coefficient,interception,deciduous broadleaf (Zurich High-layer block); identical in both reference files,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),code_comment,
US-HBK,Sp_SN_In,5.9,mm/LAI,Specific snow interception storage per unit LAI,interception,deciduous broadleaf (Zurich High-layer block); identical in both reference files,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,Important at snowy sites: controls canopy snow load and sublimation.
US-HBK,Sllit,2,m^2 litter/kg DM,Litter specific leaf area,litter,carried from the evergreen table (not a scalar in the source file),Fatichi et al. (2012a),tc_model_description,
US-HBK,ExEM,1.0,-,Ectomycorrhizal / exudation exchange fraction,biogeochemistry,carried from the evergreen table (not a scalar in the source file),Fatichi et al. (2012a),needs_verification,
US-HBK,Ccrown,1.0,-,Crown area fraction of the vegetation patch,land_cover,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,1.0 = single PFT covering the whole plot; correct for closed-canopy forest.
US-HBK,Cwat,0,-,Water-covered fraction of the cell,land_cover,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-HBK,Curb,0,-,Urban fraction of the cell,land_cover,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-HBK,Crock,0,-,Rock fraction of the cell,land_cover,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-HBK,Cbare,0,-,Bare-soil fraction of the cell,land_cover,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-HBK,TminS,-0.8,degC,Air temperature below which precipitation falls entirely as snow,snow_physics,carried from the evergreen table (not a scalar in the source file),Fatichi et al. (2012a),tc_model_description,
US-HBK,TmaxS,2.8,degC,Air temperature above which precipitation falls entirely as rain,snow_physics,carried from the evergreen table (not a scalar in the source file),Fatichi et al. (2012a),tc_model_description,
US-HBK,ros_max1,550,kg/m^3,Maximum snow density (parameter set 1),snow_physics,carried from the evergreen table (not a scalar in the source file),Fatichi et al. (2012a),tc_model_description,Code retains an alternative commented value of 600.
US-HBK,ros_max2,260,kg/m^3,Maximum snow density (parameter set 2),snow_physics,carried from the evergreen table (not a scalar in the source file),Fatichi et al. (2012a),tc_model_description,Code retains an alternative commented value of 450.
US-HBK,Th_Pr_sno,10.0,mm/day,Snowfall intensity threshold defining a new snowfall event,snow_physics,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-HBK,Ice_wc_sp,0.01,-,Specific maximum liquid water content of ice,ice_physics,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-HBK,ros_Ice_thr,500,kg/m^3,Snow density threshold for transformation into ice,ice_physics,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-HBK,Aice,0.35,-,Ice albedo,ice_physics,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-HBK,WatFreez_Th,-8,degC,Temperature threshold for freezing of soil water,ice_physics,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-HBK,dz_ice,0.54,mm/h,Freezing-layer depth growth rate,ice_physics,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-HBK,snow_alb.dir_vis,0.7,-,Initial snow albedo - direct visible,snow_physics,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,Initial condition; evolves with snow age.
US-HBK,snow_alb.dif_vis,0.7,-,Initial snow albedo - diffuse visible,snow_physics,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-HBK,snow_alb.dir_nir,0.7,-,Initial snow albedo - direct near-infrared,snow_physics,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-HBK,snow_alb.dif_nir,0.7,-,Initial snow albedo - diffuse near-infrared,snow_physics,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-HBK,e_sno,0.97,-,Snow surface emissivity,snow_physics,carried from the evergreen table (not a scalar in the source file),Fatichi et al. (2012a),tc_model_description,
US-HBK,SPAR,2,-,"Soil hydraulic parameterisation: 1 = van Genuchten, 2 = Saxton-Rawls",soil_mesh_and_solver,carried from the evergreen table (not a scalar in the source file),Saxton & Rawls (2006) SSSAJ 70:1569-1578,tc_model_description,Choice of scheme is prescribed; the texture it consumes is site data.
US-HBK,Kfc,0.2,mm/h,Drainage rate defining field capacity,soil_mesh_and_solver,carried from the evergreen table (not a scalar in the source file),Fatichi et al. (2012a),tc_model_description,
