variable,value,units,description,category,layer,active_at_US_xRM,typical_range_fatichi2012,source,source_confidence,notes
Bfac_ls_H,NaN,-,Soil-water stress threshold for leaf shedding,phenology,H,yes,,MOD_PARAM_US_xRM.m,code_comment,NaN = water-triggered shedding disabled for evergreen.
Tlo_H,1.5,degC,Mean temperature threshold for leaf onset,phenology,H,yes,,Fatichi et al. (2012a),tc_model_description,
Tls_H,NaN NaN,degC,Mean temperature threshold for leaf shedding,phenology,H,yes,,MOD_PARAM_US_xRM.m,code_comment,NaN = disabled for evergreen.
PAR_th_H,NaN,umol/(m^2 s),PAR threshold for phenological transition,phenology,H,yes,,MOD_PARAM_US_xRM.m,code_comment,NaN = disabled.
dmg_H,30,day,Day of maximum growth (tree = 30; grasses = 25),phenology,H,yes,dMG: 15-40 day,MOD_PARAM_US_xRM.m,code_comment,
LAI_min_H,0.001,m^2/m^2,Minimum allowed leaf area index,phenology,H,yes,LAImin: 0.001-0.05,Fatichi et al. (2012a),tc_model_description,
Trr_H,0.5,gC/(m^2 d),Translocation rate from reserves,carbon_allocation,H,yes,TrC: 0.2-6 gC/(m2 d),Fatichi et al. (2012a),tc_model_description,
mjDay_H,220,day of year,Maximum Julian day allowed for leaf onset,phenology,H,yes,,Fatichi et al. (2012a),tc_model_description,Northern-hemisphere convention.
LDay_min_H,14.1,h,Minimum day length for leaf onset,phenology,H,yes,,Fatichi et al. (2012a),tc_model_description,Day-length thresholds are LATITUDE SENSITIVE - review when moving far from 40 degN.
LtR_H,0.8,-,Maximum leaf-to-root allocation ratio,carbon_allocation,H,yes,Rltr: 0.25-1.5,Fatichi et al. (2012a),tc_model_description,
Mf_H,0.02,1/d,Fruit maturation turnover rate (1/50),carbon_turnover,H,yes,,Fatichi et al. (2012a),tc_model_description,
Wm_H,0,1/d,Wood turnover coefficient,carbon_turnover,H,yes,,MOD_PARAM_US_xRM.m,code_comment,Zero = no background wood mortality.
eps_ac_H,0.8,-,Allocation-to-reserve parameter,carbon_allocation,H,yes,eps_al: 0-1,Fatichi et al. (2012a),tc_model_description,
LDay_cr_H,11.8,h,Day-length threshold triggering senescence,phenology,H,yes,"DLH,SE: 10-13 h",Fatichi et al. (2012a),tc_model_description,Latitude sensitive - see LDay_min_H.
Klf_H,0.033333,1/d,Dead-leaf fall turnover rate (1/30),carbon_turnover,H,yes,,Fatichi et al. (2012a),tc_model_description,
fab_H,0.74,-,Fraction of sapwood and reserves allocated above ground,carbon_allocation,H,yes,,Fatichi et al. (2012a),tc_model_description,fab_H + fbe_H must equal 1.
fbe_H,0.26,-,Fraction of sapwood and reserves allocated below ground,carbon_allocation,H,yes,,Fatichi et al. (2012a),tc_model_description,
ff_r_H,0.1,-,Reference allocation fraction to fruit and reproduction,carbon_allocation,H,yes,,Fatichi et al. (2012a),tc_model_description,
d_leaf_H,0.25,cm,Characteristic leaf dimension (needle width) for the boundary layer,canopy_structure,H,yes,d_leaf: 0.1-15 cm,Fatichi et al. (2012a),tc_model_description,Needle-scale; the Low/broadleaf value is 0.8 cm.
Sp_LAI_H_In,0.1,mm/LAI,Specific rainfall interception storage per unit LAI,interception,H,yes,"Sp,In: 0.1-0.4 mm",Fatichi et al. (2012a),tc_model_description,
OM_H,1,-,Organic-matter / leaf-clumping-related optical multiplier,canopy_optics,H,yes,,Fatichi et al. (2012a),needs_verification,
PFT_opt_H,Veg_Optical_Parameter(2),-,Leaf/stem optical property set; class 2 = NET Boreal (needleleaf evergreen tree),canopy_optics,H,yes,chiL / alpha_L / tau_L: chiL -0.30 to 0.25; refl 0.07-0.58; transm 0.001-0.38,Oleson et al. (2010) CLM4 Tech Note; Dorman & Sellers (1989); Asner et al. (1998); chiL after Ross (1975),tc_source_code,"Classes 1 (NET Temperate), 2 (NET Boreal) and 3 (NDT Boreal) are NUMERICALLY IDENTICAL in Veg_Optical_Parameter.m, so class 1 vs 2 does not change results. Yields chiL=0.01, leaf reflectance vis/nir = 0.07/0.35, transmittance 0.05/0.10."
CASE_ROOT,1,-,Root vertical profile type; 1 = exponential,roots,both,yes,,Arora & Boer (2005) Earth Interact 9:1-17,tc_source_code,"Options in Root_Fraction_General.m: 1 exponential, 2 linear dose response, 3 constant, 4 deep/tap."
ZR95_H,800,mm,Rooting depth containing 95% of roots,roots,H,yes,,PFT-prescribed placeholder; see Schenk & Jackson (2002) J Ecol 90:480-494; Fan et al. (2017) PNAS 114:10572-10577,needs_verification,"PFT value FOR NOW, to be overwritten if site data appear. HARD CONSTRAINT: ZR95_H must be <= the deepest soil layer (Zs end), or Root_Fraction_General aborts."
ZR50_H,NaN,mm,Rooting depth containing 50% of roots,roots,H,yes,,MOD_PARAM_US_xRM.m,code_comment,Unused when CASE_ROOT = 1.
ZRmax_H,NaN,mm,Maximum rooting depth,roots,H,yes,,MOD_PARAM_US_xRM.m,code_comment,Unused when CASE_ROOT = 1.
Vx_H,10,mm/m^2 PFT,Maximum xylem water storage volume,plant_hydraulics,H,yes,,Fatichi et al. (2012a),tc_model_description,
Vl_H,10,mm/m^2 PFT,Maximum leaf water storage volume,plant_hydraulics,H,yes,,Fatichi et al. (2012a),tc_model_description,
ParEx_H,Exudation_Parameter(1),-,Root exudation parameter set (1 = active),biogeochemistry,H,yes,,Fatichi et al. (2012a),needs_verification,Only relevant when OPT_SoilBiogeochemistry = 1.
Mpar_H,Vegetation_Management_Parameter,-,Vegetation management parameter set (defaults = unmanaged),management,H,yes,,Fatichi et al. (2012a),tc_model_description,Revisit for managed/harvested sites flagged by BADM disturbance records.
Kct,0.75,-,Vegetation cover factor for throughfall partitioning,interception,both,yes,,Fatichi et al. (2012a),tc_model_description,
gcI,3.7,1/mm,Interception storage decay coefficient,interception,both,yes,gc: 3.7 1/mm,Fatichi et al. (2012a),tc_model_description,
KcI,0.06,mm,Interception drainage coefficient,interception,both,yes,Kc: 0.06 mm/h,Code comment: Mahfouf & Jacquemin (1989),code_comment,
Sp_SN_In,5.9,mm/LAI,Specific snow interception storage per unit LAI,interception,both,yes,"Sp_sno,In: 5.9-6.6 kg/m2",Fatichi et al. (2012a),tc_model_description,Important at snowy sites: controls canopy snow load and sublimation.
Sllit,2,m^2 litter/kg DM,Litter specific leaf area,litter,both,yes,,Fatichi et al. (2012a),tc_model_description,
ExEM,1.0,-,Ectomycorrhizal / exudation exchange fraction,biogeochemistry,both,yes,,Fatichi et al. (2012a),needs_verification,
Ccrown,1.0,-,Crown area fraction of the vegetation patch,land_cover,H,yes,,MOD_PARAM_US_xRM.m,code_comment,1.0 = single PFT covering the whole plot; correct for closed-canopy forest.
Cwat,0,-,Water-covered fraction of the cell,land_cover,n/a,yes,,MOD_PARAM_US_xRM.m,code_comment,
Curb,0,-,Urban fraction of the cell,land_cover,n/a,yes,,MOD_PARAM_US_xRM.m,code_comment,
Crock,0,-,Rock fraction of the cell,land_cover,n/a,yes,,MOD_PARAM_US_xRM.m,code_comment,
Cbare,0,-,Bare-soil fraction of the cell,land_cover,n/a,yes,,MOD_PARAM_US_xRM.m,code_comment,
TminS,-0.8,degC,Air temperature below which precipitation falls entirely as snow,snow_physics,n/a,yes,Tmin: -1.5 to 0.0 degC,Fatichi et al. (2012a),tc_model_description,
TmaxS,2.8,degC,Air temperature above which precipitation falls entirely as rain,snow_physics,n/a,yes,Tmax: 2.0-3.3 degC,Fatichi et al. (2012a),tc_model_description,
ros_max1,550,kg/m^3,Maximum snow density (parameter set 1),snow_physics,n/a,yes,rho_sno_M1: 520 kg/m3 (melting),Fatichi et al. (2012a),tc_model_description,Code retains an alternative commented value of 600.
ros_max2,260,kg/m^3,Maximum snow density (parameter set 2),snow_physics,n/a,yes,rho_sno_M2: 320 kg/m3 (freezing),Fatichi et al. (2012a),tc_model_description,Code retains an alternative commented value of 450.
Th_Pr_sno,10.0,mm/day,Snowfall intensity threshold defining a new snowfall event,snow_physics,n/a,yes,,MOD_PARAM_US_xRM.m,code_comment,
Ice_wc_sp,0.01,-,Specific maximum liquid water content of ice,ice_physics,n/a,yes,,MOD_PARAM_US_xRM.m,code_comment,
ros_Ice_thr,500,kg/m^3,Snow density threshold for transformation into ice,ice_physics,n/a,yes,,MOD_PARAM_US_xRM.m,code_comment,
Aice,0.35,-,Ice albedo,ice_physics,n/a,yes,,MOD_PARAM_US_xRM.m,code_comment,
WatFreez_Th,-8,degC,Temperature threshold for freezing of soil water,ice_physics,n/a,yes,,MOD_PARAM_US_xRM.m,code_comment,
dz_ice,0.54,mm/h,Freezing-layer depth growth rate,ice_physics,n/a,yes,,MOD_PARAM_US_xRM.m,code_comment,
snow_alb.dir_vis,0.7,-,Initial snow albedo - direct visible,snow_physics,n/a,yes,,MOD_PARAM_US_xRM.m,code_comment,Initial condition; evolves with snow age.
snow_alb.dif_vis,0.7,-,Initial snow albedo - diffuse visible,snow_physics,n/a,yes,,MOD_PARAM_US_xRM.m,code_comment,
snow_alb.dir_nir,0.7,-,Initial snow albedo - direct near-infrared,snow_physics,n/a,yes,,MOD_PARAM_US_xRM.m,code_comment,
snow_alb.dif_nir,0.7,-,Initial snow albedo - diffuse near-infrared,snow_physics,n/a,yes,,MOD_PARAM_US_xRM.m,code_comment,
e_sno,0.97,-,Snow surface emissivity,snow_physics,n/a,yes,,Fatichi et al. (2012a),tc_model_description,
SPAR,2,-,"Soil hydraulic parameterisation: 1 = van Genuchten, 2 = Saxton-Rawls",soil_mesh_and_solver,n/a,yes,,Saxton & Rawls (2006) SSSAJ 70:1569-1578,tc_model_description,Choice of scheme is prescribed; the texture it consumes is site data.
Kfc,0.2,mm/h,Drainage rate defining field capacity,soil_mesh_and_solver,n/a,yes,,Fatichi et al. (2012a),tc_model_description,
Phy,10000,kPa,Matric potential defining the hygroscopic (residual) water content,soil_mesh_and_solver,n/a,yes,,Fatichi et al. (2012a),tc_model_description,
Zs,[0 10 20 50 100 150 200 300 400 500 600 700 800 1000],mm,Soil layer interface depths; length must equal ms+1,soil_mesh_and_solver,n/a,yes,,MOD_PARAM_US_xRM.m,code_comment,13 layers to 1 m. CLAUDE.md 6 flags 1 m as TOO SHALLOW for deep-rooted forest - deepen per site (often 2-5 m) and keep ZR95_H <= the deepest layer.
Zdes,10,mm,Depth of the soil layer contributing to bare-soil evaporation,soil_mesh_and_solver,n/a,yes,,Fatichi et al. (2012a),tc_model_description,
Zinf,10,mm,Depth of the infiltration control layer,soil_mesh_and_solver,n/a,yes,,Fatichi et al. (2012a),tc_model_description,
Zbio,250,mm,Depth of the biologically active soil layer,soil_mesh_and_solver,n/a,yes,,Fatichi et al. (2012a),tc_model_description,
Oice,0,-,Initial soil ice content,soil_mesh_and_solver,n/a,yes,,MOD_PARAM_US_xRM.m,code_comment,
In_max_urb,5,mm,Maximum interception storage on urban surfaces,interception,n/a,yes,,MOD_PARAM_US_xRM.m,code_comment,Inactive (Curb = 0).
In_max_rock,0.1,mm,Maximum interception storage on rock surfaces,interception,n/a,yes,,MOD_PARAM_US_xRM.m,code_comment,Inactive (Crock = 0).
fpr,1,-,Fraction of precipitation reaching the cell,domain_geometry,n/a,yes,,MOD_PARAM_US_xRM.m,code_comment,
SvF,1,-,Sky view factor,domain_geometry,n/a,yes,,MOD_PARAM_US_xRM.m,code_comment,"1 = flat, unobstructed horizon. Revisit for steep/valley terrain."
SN,0,-,Stream identifier,domain_geometry,n/a,yes,,MOD_PARAM_US_xRM.m,code_comment,
Slo_top,0,fraction dy/dx,Topographic slope at the surface,domain_geometry,n/a,yes,,MOD_PARAM_US_xRM.m,code_comment,Plot-scale runs assume flat; Asur is derived from this.
Slo_pot,0,fraction dy/dx,Slope of the hydraulic potential per soil layer,domain_geometry,n/a,yes,,MOD_PARAM_US_xRM.m,code_comment,
Ared,1,-,Area reduction factor due to rock content (1 - Frock),domain_geometry,n/a,yes,,MOD_PARAM_US_xRM.m,code_comment,
aR,1,-,Anisotropy ratio of hydraulic conductivity (Kh/Kv),domain_geometry,n/a,yes,ar: 0-1000,MOD_PARAM_US_xRM.m,code_comment,
cellsize,1,m^2,Grid cell size for the plot-scale configuration,domain_geometry,n/a,yes,,MOD_PARAM_US_xRM.m,code_comment,
Kbot,NaN,mm/h,Hydraulic conductivity at the bedrock lower boundary,domain_geometry,n/a,yes,Kbot: 0-2 mm/h,MOD_PARAM_US_xRM.m,code_comment,NaN = free drainage. CLAUDE.md 6 warns this is WRONG for shallow-water-table or riparian sites.
Krock,NaN,mm/h,Hydraulic conductivity of fractured rock,domain_geometry,n/a,yes,,MOD_PARAM_US_xRM.m,code_comment,
a_dis,NaN,-,Rainfall disaggregation parameter,forcing_options,n/a,yes,,MOD_PARAM_US_xRM.m,code_comment,NaN = disaggregation off; forcing is already hourly.
pow_dis,NaN,-,Rainfall disaggregation exponent,forcing_options,n/a,yes,,MOD_PARAM_US_xRM.m,code_comment,NaN = disaggregation off.
Sl_L,0.028,m^2/gC,Specific leaf area of the Low vegetation layer,vegetation_structure,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer INACTIVE at US_xRM (Ccrown high-only). Retained for completeness.
Nl_L,23,kgC/kgN,Leaf carbon-to-nitrogen ratio - Low layer,stoichiometry,L,no,Nl: 15-42 gC/gN,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
aSE_L,2,-,Plant type - Low layer (2 = grass),phenology,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
Vmax_L,0,umolCO2/(m^2 s),Maximum Rubisco capacity - Low layer,photosynthesis,L,no,,MOD_PARAM_US_xRM.m,code_comment,Zero disables Low-layer photosynthesis.
ZR95_L,0,mm,Rooting depth (95%) - Low layer,roots,L,no,,MOD_PARAM_US_xRM.m,code_comment,Zero = no Low-layer roots.
FI_L,0.081,umolCO2/umolPhotons,Intrinsic quantum efficiency - Low layer,photosynthesis,L,no,epsilon: 0.040-0.090,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
Do_L,2000,Pa,VPD sensitivity - Low layer,photosynthesis,L,no,D0: 700-3000 Pa,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
a1_L,7,-,Stomatal slope - Low layer,photosynthesis,L,no,a: 3-18,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
go_L,0.01,mol/(s m^2),Minimum stomatal conductance - Low layer,photosynthesis,L,no,"g0,CO2: 0.005-0.04",MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
CT_L,3,-,Photosynthetic pathway - Low layer,photosynthesis,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
DSE_L,0.660,kJ/(mol K),Entropy factor - Low layer,photosynthesis,L,no,DeltaS: 0.625-0.665 kJ/(mol K),MOD_PARAM_US_xRM.m,code_comment,Low layer inactive; same label swap as DSE_H.
Ha_L,48,kJ/mol,Activation energy - Low layer,photosynthesis,L,no,Ha: 40-95 kJ/mol,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive; same label swap as Ha_H.
gmes_L,Inf,mol CO2/(s m^2),Mesophyll conductance - Low layer,photosynthesis,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
rjv_L,2.6,umol electrons/umolCO2,Jmax:Vmax ratio - Low layer,photosynthesis,L,no,rjv: 1.5-2.5,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
KnitL,0.0,-,Canopy nitrogen decay - Low layer,photosynthesis,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
mSl_L,0.0,m^2 PFT/gC,SLA increase with LAI - Low layer,vegetation_structure,L,no,,MOD_PARAM_US_xRM.m,code_comment,Code notes 0.0-0.004 for broadleaf deciduous trees.
d_leaf_L,0.8,cm,Characteristic leaf dimension - Low layer,canopy_structure,L,no,d_leaf: 0.1-15 cm,MOD_PARAM_US_xRM.m,code_comment,Broadleaf value; relevant if a deciduous understorey is ever activated.
Sp_LAI_L_In,0.2,mm/LAI,Specific interception storage per LAI - Low layer,interception,L,no,"Sp,In: 0.1-0.4 mm",MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
Psi_sto_00_L,-0.8,MPa,Stomatal closure onset potential - Low layer,plant_hydraulics,L,no,Psi_ss: -0.03 to -1.0 MPa,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
Psi_sto_50_L,-3.0,MPa,Potential at 50% stomatal loss - Low layer,plant_hydraulics,L,no,Psi_wp: -1.0 to -10.0 MPa,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
PsiL00_L,-1.1,MPa,Leaf potential at 2% conductivity loss - Low layer,plant_hydraulics,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
PsiL50_L,-4.0,MPa,Leaf potential at 50% conductivity loss - Low layer,plant_hydraulics,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
Kleaf_max_L,5,mmolH2O/(m^2 leaf s MPa),Maximum leaf hydraulic conductance - Low layer,plant_hydraulics,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
Cl_L,1200,mmolH2O/(m^2 leaf MPa),Leaf capacitance - Low layer,plant_hydraulics,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
Axyl_L,0.0,cm^2 stem/m^2 PFT,Sapwood area - Low layer,plant_hydraulics,L,no,,MOD_PARAM_US_xRM.m,code_comment,Zero for herbaceous.
Kx_max_L,80000,mmolH2O/(m s MPa),Maximum xylem conductivity - Low layer,plant_hydraulics,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
PsiX50_L,-4.5,MPa,Xylem P50 - Low layer,plant_hydraulics,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
Cx_L,150,kg/(m^3 sapwood MPa),Xylem capacitance - Low layer,plant_hydraulics,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
PsiG50_L,-1.45,MPa,Potential at 50% growth reduction - Low layer,growth,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
PsiG99_L,-4.0,MPa,Potential at 99% growth reduction - Low layer,growth,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
gcoef_L,3.5,gC/(m^2 day),Growth coefficient - Low layer,growth,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
r_L,0.055,gC/(gN d),Respiration rate at 10 degC - Low layer,carbon_turnover,L,no,rm: 0.020-0.066,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
gR_L,0.25,-,Growth respiration fraction - Low layer,carbon_turnover,L,no,omega_grw: 0.15-0.30,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
dd_max_L,0.0027778,1/d,Maximum drought mortality (1/360) - Low layer,carbon_turnover,L,no,dd_max: 1/600-1/30 = 0.0017-0.033,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
dc_C_L,0.019178,1/(d degC),Cold mortality factor (7/365) - Low layer,carbon_turnover,L,no,d_cold: 1/365-1/15 = 0.0027-0.067,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
Tcold_L,0.0,degC,Cold leaf-shed threshold - Low layer,phenology,L,no,Tcold: -12 to +10 degC,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
drn_L,0.0017544,1/d,Root turnover (1/570) - Low layer,carbon_turnover,L,no,d_root: 1/1500-1/240 = 0.00067-0.0042,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
